Connected to the server
Starting a file upload...
received ACK(335)from the server('127.0.0.1', 4000).
received ACK(336)from the server('127.0.0.1', 4000).
received ACK(337)from the server('127.0.0.1', 4000).
received ACK(338)from the server('127.0.0.1', 4000).
received ACK(339)from the server('127.0.0.1', 4000).
received ACK(340)from the server('127.0.0.1', 4000).
received ACK(341)from the server('127.0.0.1', 4000).
received ACK(342)from the server('127.0.0.1', 4000).
received ACK(343)from the server('127.0.0.1', 4000).
received ACK(344)from the server('127.0.0.1', 4000).
received ACK(345)from the server('127.0.0.1', 4000).
received ACK(346)from the server('127.0.0.1', 4000).
received ACK(347)from the server('127.0.0.1', 4000).
received ACK(348)from the server('127.0.0.1', 4000).
received ACK(349)from the server('127.0.0.1', 4000).
received ACK(350)from the server('127.0.0.1', 4000).
received ACK(351)from the server('127.0.0.1', 4000).
received ACK(352)from the server('127.0.0.1', 4000).
received ACK(353)from the server('127.0.0.1', 4000).
received ACK(354)from the server('127.0.0.1', 4000).
received ACK(355)from the server('127.0.0.1', 4000).
received ACK(356)from the server('127.0.0.1', 4000).
received ACK(357)from the server('127.0.0.1', 4000).
received ACK(358)from the server('127.0.0.1', 4000).
received ACK(359)from the server('127.0.0.1', 4000).
received ACK(360)from the server('127.0.0.1', 4000).
received ACK(361)from the server('127.0.0.1', 4000).
received ACK(362)from the server('127.0.0.1', 4000).
received ACK(363)from the server('127.0.0.1', 4000).
received ACK(364)from the server('127.0.0.1', 4000).
received ACK(365)from the server('127.0.0.1', 4000).
received ACK(366)from the server('127.0.0.1', 4000).
received ACK(367)from the server('127.0.0.1', 4000).
received ACK(368)from the server('127.0.0.1', 4000).
received ACK(369)from the server('127.0.0.1', 4000).
received ACK(370)from the server('127.0.0.1', 4000).
received ACK(371)from the server('127.0.0.1', 4000).
received ACK(372)from the server('127.0.0.1', 4000).
received ACK(373)from the server('127.0.0.1', 4000).
received ACK(374)from the server('127.0.0.1', 4000).
received ACK(375)from the server('127.0.0.1', 4000).
received ACK(376)from the server('127.0.0.1', 4000).
received ACK(377)from the server('127.0.0.1', 4000).
received ACK(378)from the server('127.0.0.1', 4000).
received ACK(379)from the server('127.0.0.1', 4000).
received ACK(380)from the server('127.0.0.1', 4000).
received ACK(381)from the server('127.0.0.1', 4000).
received ACK(382)from the server('127.0.0.1', 4000).
received ACK(383)from the server('127.0.0.1', 4000).
received ACK(384)from the server('127.0.0.1', 4000).
received ACK(385)from the server('127.0.0.1', 4000).
received ACK(386)from the server('127.0.0.1', 4000).
received ACK(387)from the server('127.0.0.1', 4000).
received ACK(388)from the server('127.0.0.1', 4000).
received ACK(389)from the server('127.0.0.1', 4000).
received ACK(390)from the server('127.0.0.1', 4000).
received ACK(391)from the server('127.0.0.1', 4000).
received ACK(392)from the server('127.0.0.1', 4000).
received ACK(393)from the server('127.0.0.1', 4000).
received ACK(394)from the server('127.0.0.1', 4000).
received ACK(395)from the server('127.0.0.1', 4000).
received ACK(396)from the server('127.0.0.1', 4000).
received ACK(397)from the server('127.0.0.1', 4000).
received ACK(398)from the server('127.0.0.1', 4000).
received ACK(399)from the server('127.0.0.1', 4000).
received ACK(400)from the server('127.0.0.1', 4000).
received ACK(401)from the server('127.0.0.1', 4000).
received ACK(402)from the server('127.0.0.1', 4000).
received ACK(403)from the server('127.0.0.1', 4000).
received ACK(404)from the server('127.0.0.1', 4000).
received ACK(405)from the server('127.0.0.1', 4000).
received ACK(406)from the server('127.0.0.1', 4000).
received ACK(407)from the server('127.0.0.1', 4000).
received ACK(408)from the server('127.0.0.1', 4000).
received ACK(409)from the server('127.0.0.1', 4000).
received ACK(410)from the server('127.0.0.1', 4000).
received ACK(411)from the server('127.0.0.1', 4000).
received ACK(412)from the server('127.0.0.1', 4000).
received ACK(413)from the server('127.0.0.1', 4000).
received ACK(414)from the server('127.0.0.1', 4000).
received ACK(415)from the server('127.0.0.1', 4000).
received ACK(416)from the server('127.0.0.1', 4000).
received ACK(417)from the server('127.0.0.1', 4000).
received ACK(418)from the server('127.0.0.1', 4000).
received ACK(419)from the server('127.0.0.1', 4000).
received ACK(420)from the server('127.0.0.1', 4000).
received ACK(421)from the server('127.0.0.1', 4000).
received ACK(422)from the server('127.0.0.1', 4000).
received ACK(423)from the server('127.0.0.1', 4000).
received ACK(424)from the server('127.0.0.1', 4000).
received ACK(425)from the server('127.0.0.1', 4000).
received ACK(426)from the server('127.0.0.1', 4000).
received ACK(427)from the server('127.0.0.1', 4000).
received ACK(428)from the server('127.0.0.1', 4000).
received ACK(429)from the server('127.0.0.1', 4000).
received ACK(430)from the server('127.0.0.1', 4000).
received ACK(431)from the server('127.0.0.1', 4000).
received ACK(432)from the server('127.0.0.1', 4000).
received ACK(433)from the server('127.0.0.1', 4000).
received ACK(434)from the server('127.0.0.1', 4000).
received ACK(435)from the server('127.0.0.1', 4000).
received ACK(436)from the server('127.0.0.1', 4000).
received ACK(437)from the server('127.0.0.1', 4000).
received ACK(438)from the server('127.0.0.1', 4000).
received ACK(439)from the server('127.0.0.1', 4000).
received ACK(440)from the server('127.0.0.1', 4000).
received ACK(441)from the server('127.0.0.1', 4000).
received ACK(442)from the server('127.0.0.1', 4000).
received ACK(443)from the server('127.0.0.1', 4000).
received ACK(444)from the server('127.0.0.1', 4000).
received ACK(445)from the server('127.0.0.1', 4000).
received ACK(446)from the server('127.0.0.1', 4000).
received ACK(447)from the server('127.0.0.1', 4000).
received ACK(448)from the server('127.0.0.1', 4000).
received ACK(449)from the server('127.0.0.1', 4000).
received ACK(450)from the server('127.0.0.1', 4000).
received ACK(451)from the server('127.0.0.1', 4000).
received ACK(452)from the server('127.0.0.1', 4000).
received ACK(453)from the server('127.0.0.1', 4000).
received ACK(454)from the server('127.0.0.1', 4000).
received ACK(455)from the server('127.0.0.1', 4000).
received ACK(456)from the server('127.0.0.1', 4000).
received ACK(457)from the server('127.0.0.1', 4000).
received ACK(458)from the server('127.0.0.1', 4000).
received ACK(459)from the server('127.0.0.1', 4000).
received ACK(460)from the server('127.0.0.1', 4000).
received ACK(461)from the server('127.0.0.1', 4000).
received ACK(462)from the server('127.0.0.1', 4000).
received ACK(463)from the server('127.0.0.1', 4000).
received ACK(464)from the server('127.0.0.1', 4000).
received ACK(465)from the server('127.0.0.1', 4000).
received ACK(466)from the server('127.0.0.1', 4000).
received ACK(467)from the server('127.0.0.1', 4000).
received ACK(468)from the server('127.0.0.1', 4000).
received ACK(469)from the server('127.0.0.1', 4000).
received ACK(470)from the server('127.0.0.1', 4000).
received ACK(471)from the server('127.0.0.1', 4000).
received ACK(472)from the server('127.0.0.1', 4000).
received ACK(473)from the server('127.0.0.1', 4000).
received ACK(474)from the server('127.0.0.1', 4000).
received ACK(475)from the server('127.0.0.1', 4000).
received ACK(476)from the server('127.0.0.1', 4000).
received ACK(477)from the server('127.0.0.1', 4000).
received ACK(478)from the server('127.0.0.1', 4000).
received ACK(479)from the server('127.0.0.1', 4000).
received ACK(480)from the server('127.0.0.1', 4000).
received ACK(481)from the server('127.0.0.1', 4000).
received ACK(482)from the server('127.0.0.1', 4000).
